ID_TV,NAMA_TV,LOGO,URL,BG_TEXT,C_TEXT,ID_KATEGORI,KATEGORI
22,Disney Junior,https://tv.wajabae.com/upload/logo/14210649202037.png,http://103.76.148.203:25461/EqyGiMlzsS/xvlVrI4VzZ/26,af3345,ffffff,3,Kids
365,Disney XD,https://tv.wajabae.com/upload/logo/05160756202031.png,http://103.121.238.11:25461/Bone/Bone/7, 28b463,ffffff,3,Kids
78,Dreamwork,https://tv.wajabae.com/upload/logo/22240635202033.png,https://newbonetv.xyz/m3u/usee-dreamworks-okebos.m3u8,40558E,ffffff,3,Kids
560,Duck TV,https://tv.wajabae.com/upload/logo/05081014202014.png,https://newbonetv.xyz/m3u/usee-ducktv-okebos.m3u8,9BBB1A,ffffff,3,Kids
561,Dunia Anak,https://tv.wajabae.com/upload/logo/05081015202006.png,https://newbonetv.xyz/m3u/usee-duniaanak-okebos.m3u8,1A96BB,ffffff,3,Kids
575,Hip Hip Horee,https://tv.wajabae.com/upload/logo/05081054202054.jpg,https://newbonetv.xyz/m3u/vidio-hiphip-horee-okebos.m3u8,C3CB1F,ffffff,3,Kids
565,Horee,https://tv.wajabae.com/upload/logo/05081027202015.png,https://newbonetv.xyz/m3u/usee-horee-okebos.m3u8,B338B1,ffffff,3,Kids
414,My Kids,https://tv.wajabae.com/upload/logo/05081038202028.jpg,https://newbonetv.xyz/m3u/usee-mykids-okebos.m3u8,eba348,ffffff,3,Kids
357,Nick Jr.,https://tv.wajabae.com/upload/logo/00070758202020.png,http://103.76.148.203:25461/EqyGiMlzsS/xvlVrI4VzZ/28,e78415,ffffff,3,Kids
31,Nickelodeon,https://tv.wajabae.com/upload/logo/01070702202031.png,http://103.76.148.203:25461/EqyGiMlzsS/xvlVrI4VzZ/27,f39c12,ffffff,3,Kids
450,Spacetoon,https://tv.wajabae.com/upload/logo/14260855202022.png,http://103.76.148.203:25461/MIw9qm6Mqd/AhVibgDpLx/23,EDCB31,000000,3,Kids
355,Animal Planet,https://tv.wajabae.com/upload/logo/21060712202013.png,http://103.121.238.11:25461/Bone/Bone/2,77b622,ffffff,4,Knowledge
17,Asian Food Network,https://tv.wajabae.com/upload/logo/03210654202054.jpg,https://newbonetv.xyz/m3u/usee-afc-okebos.m3u8,c2003e,ffffff,4,Knowledge
559,Da Vinci,https://tv.wajabae.com/upload/logo/05081013202002.png,https://newbonetv.xyz/m3u/usee-davinci-okebos.m3u8,C8413F,ffffff,4,Knowledge
447,Discovery Asia,https://tv.wajabae.com/upload/logo/14260829202053.png,https://livecdn.fptplay.net/qnetlive/discoveryasia_hls.smil/chunklist_b2500000.m3u8,000000,ffffff,4,Knowledge
16,Discovery Chanel,https://tv.wajabae.com/upload/logo/23240609202057.png,https://newbonetv.xyz/m3u/usee-disco-okebos.m3u8,20579d,ffffff,4,Knowledge
399,HGTV,https://tv.wajabae.com/upload/logo/23160857202007.png,https://newbonetv.xyz/m3u/usee-hgtv-okebos.m3u8,2E86C1,ffffff,4,Knowledge
61,History,https://tv.wajabae.com/upload/logo/02230637202009.png,https://newbonetv.xyz/m3u/usee-history-okebos.m3u8,F7B800,ffffff,4,Knowledge
567,Lingua Channel,https://tv.wajabae.com/upload/logo/05081032202030.png,https://newbonetv.xyz/m3u/usee-lingua-okebos.m3u8,E1B322,ffffff,4,Knowledge
